,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,
OH,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
OK,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
OR,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
PA,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Divided,Dem,Divided
RI,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
SC,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
SD,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
TN,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
TX,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
UT,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
VT,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Rep,Divided,Dem,Rep,Divided
VA,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Divided,Rep,Divided,Divided,Rep,Divided
WA,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
WV,Rep,Dem,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
WI,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided,Rep,Dem,Divided
WY,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
