date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
08/13/2020,AS,8/6/20,8/12/20,0,0,0,0,0,0
08/18/2022,FL,8/11/22,08/17/2022,6952951,45160,78480,468,0,0
08/18/2022,OH,8/11/22,08/17/2022,3002043,26016,39204,83,0,0
08/18/2022,UT,8/11/22,08/17/2022,1023073,3636,4940,0,0,0
08/18/2022,ND,8/11/22,08/17/2022,261045,1776,2345,6,0,0
08/18/2022,VT,8/11/22,08/17/2022,139037,451,758,5,0,0
08/18/2022,MO,8/11/22,08/17/2022,1599442,10641,21301,65,0,0
08/18/2022,GA,8/11/22,08/17/2022,2829283,25766,39455,153,0,0
08/18/2022,IN,8/11/22,08/17/2022,1867509,13478,24311,89,0,0
08/18/2022,ME,8/11/22,08/17/2022,279931,1509,2497,4,0,0
08/18/2022,GU,8/11/22,08/17/2022,57104,737,389,5,0,0
08/18/2022,AR,8/11/22,08/17/2022,919634,6280,11831,44,0,0
08/18/2022,PR,8/11/22,08/17/2022,896405,16458,4880,60,0,0
08/18/2022,PW,8/11/22,08/17/2022,5246,5,6,0,0,0
08/18/2022,CO,8/11/22,08/17/2022,1621376,7393,13119,36,0,0
08/18/2022,NY,8/11/22,08/17/2022,3132526,16959,29197,70,0,0
08/18/2022,MD,8/11/22,08/17/2022,1207014,9530,15093,52,0,0
08/18/2022,MP,8/11/22,08/17/2022,12948,82,39,0,0,0
08/18/2022,MA,8/11/22,08/17/2022,1987385,9882,21284,61,0,0
08/18/2022,NJ,8/11/22,08/17/2022,2645729,17950,34420,50,0,0
08/18/2022,OR,8/11/22,08/17/2022,868903,5859,8325,73,0,0
08/18/2022,VA,8/11/22,08/17/2022,2002771,17762,21175,103,0,0
08/18/2022,WI,8/11/22,08/17/2022,1810752,11611,14995,31,0,0
08/18/2022,FSM,8/11/22,08/17/2022,6903,0,21,2,0,0
08/18/2022,MI,8/11/22,08/17/2022,2731787,23165,37774,104,0,0
08/18/2022,NV,8/11/22,08/17/2022,829613,2552,11353,56,0,0
08/18/2022,WY,8/11/22,08/17/2022,173487,1014,1871,6,0,0
08/18/2022,ID,8/11/22,08/17/2022,485489,2234,5081,22,0,0
08/18/2022,SC,8/11/22,08/17/2022,1650748,13640,18227,12,0,0
08/18/2022,LA,8/11/22,08/17/2022,1407047,10511,17743,67,0,0
08/18/2022,RI,8/11/22,08/17/2022,395386,1693,3632,0,0,0
08/18/2022,NE,8/11/22,08/17/2022,516423,2715,4389,4,0,0
08/18/2022,DC,8/11/22,08/17/2022,164724,702,1374,5,0,0
08/18/2022,NH,8/11/22,08/17/2022,342042,1374,2646,9,0,0
08/18/2022,KY,8/11/22,08/17/2022,1521775,16351,16540,76,0,0
08/18/2022,NC,8/11/22,08/17/2022,3074965,27339,25763,37,0,0
08/18/2022,CT,8/11/22,08/17/2022,867759,5140,11180,16,0,0
08/18/2022,MT,8/11/22,08/17/2022,302454,1848,3489,9,0,0
08/18/2022,MN,8/11/22,08/17/2022,1621144,9941,13267,26,0,0
08/18/2022,AZ,8/11/22,08/17/2022,2237208,12244,30982,81,0,0
08/18/2022,CA,8/11/22,08/17/2022,10930234,85684,93490,315,0,0
08/18/2022,RMI,8/11/22,08/17/2022,6606,6417,9,8,0,0
08/18/2022,MS,8/11/22,08/17/2022,897715,8502,12750,36,0,0
08/18/2022,TN,8/11/22,08/17/2022,2242534,18006,27216,100,0,0
06/23/2022,AK,06/16/2022,06/22/2022,259819,2137,1270,0,0,0
08/18/2022,PA,8/11/22,08/17/2022,3147414,21502,46403,117,0,0
08/18/2022,OK,8/11/22,08/17/2022,1140352,12161,14622,30,0,0
08/18/2022,TX,8/11/22,08/17/2022,7673923,63326,89556,205,0,0
08/18/2022,HI,8/11/22,08/17/2022,336333,2784,1648,6,0,0
08/18/2022,IA,8/11/22,08/17/2022,832937,4921,9880,32,0,0
08/18/2022,IL,8/11/22,08/17/2022,3636062,24647,39145,86,0,0
08/18/2022,VI,8/11/22,08/17/2022,22278,203,122,0,0,0
08/18/2022,AS,8/11/22,08/17/2022,8042,0,33,0,0,0
