date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
08/26/2021,MT,08/19/2021,08/25/2021,124277,2896,1773,24,0,0
08/26/2021,NE,08/19/2021,08/25/2021,237045,4305,2923,35,0,0
08/26/2021,MI,08/19/2021,08/25/2021,1050153,14329,21445,95,0,0
08/26/2021,WI,08/19/2021,08/25/2021,722453,11480,8412,60,0,0
08/26/2021,PA,08/19/2021,08/25/2021,1292234,20063,28167,117,0,0
08/26/2021,PR,08/19/2021,08/25/2021,167072,7209,2786,84,0,0
08/26/2021,AR,08/19/2021,08/25/2021,446196,14825,7713,204,0,0
08/26/2021,MP,08/19/2021,08/25/2021,229,9,2,0,0,0
08/26/2021,HI,08/19/2021,08/25/2021,57609,5544,776,58,0,0
08/26/2021,TX,08/19/2021,08/25/2021,3481527,118249,55921,1202,0,0
08/26/2021,MD,08/19/2021,08/25/2021,489930,7349,9966,59,0,0
07/21/2022,AK,07/14/2022,07/20/2022,269051,2345,1275,0,0,0
08/26/2021,SD,08/19/2021,08/25/2021,129865,2169,2060,3,0,0
08/26/2021,NY,08/19/2021,08/25/2021,1225101,17406,20231,91,0,0
08/26/2021,WV,08/19/2021,08/25/2021,181906,6267,3036,39,0,0
08/26/2021,ME,08/19/2021,08/25/2021,74703,1432,926,5,0,0
08/26/2021,MO,08/19/2021,08/25/2021,753194,16256,10865,248,0,0
08/26/2021,GA,08/19/2021,08/25/2021,1348021,60354,22399,298,0,0
08/26/2021,KS,08/19/2021,08/25/2021,362666,9951,5544,79,0,0
08/26/2021,VI,08/19/2021,08/25/2021,5707,294,51,10,0,0
08/26/2021,AL,08/19/2021,08/25/2021,665653,19802,12000,128,0,0
08/26/2021,WA,08/19/2021,08/25/2021,545812,22238,5721,48,0,0
08/26/2021,TN,08/19/2021,08/25/2021,1013271,43668,13276,212,0,0
08/26/2021,OH,08/19/2021,08/25/2021,1192478,24367,21224,228,0,0
08/26/2021,MA,08/19/2021,08/25/2021,750248,9622,18199,35,0,0
08/27/2020,RMI,08/20/2020,08/26/2020,0,0,0,0,0,0
